Question	Source
What are you passionate about?	https://www.themuse.com/advice/interview-questions-and-answers
What motivates you?	https://www.themuse.com/advice/interview-questions-and-answers
What are your pet peeves?	https://www.themuse.com/advice/interview-questions-and-answers
How do you like to be managed?	https://www.themuse.com/advice/interview-questions-and-answers
Do you consider yourself successful?	https://www.themuse.com/advice/interview-questions-and-answers
Where do you see yourself in five years?	https://www.themuse.com/advice/interview-questions-and-answers
How do you plan to achieve your career goals?	https://www.themuse.com/advice/interview-questions-and-answers
What are your career aspirations?	https://www.themuse.com/advice/interview-questions-and-answers
What’s your dream job?	https://www.themuse.com/advice/interview-questions-and-answers
What other companies are you interviewing with?	https://www.themuse.com/advice/interview-questions-and-answers
What makes you unique?	https://www.themuse.com/advice/interview-questions-and-answers
What should I know that’s not on your resume?	https://www.themuse.com/advice/interview-questions-and-answers
What would your first few months look like in this role?	https://www.themuse.com/advice/interview-questions-and-answers
What are your salary expectations?	https://www.themuse.com/advice/interview-questions-and-answers
What do you think we could do better or differently?	https://www.themuse.com/advice/interview-questions-and-answers
When can you start?	https://www.themuse.com/advice/interview-questions-and-answers
Are you willing to relocate?	https://www.themuse.com/advice/interview-questions-and-answers
How many tennis balls can you fit into a limousine?	https://www.themuse.com/advice/interview-questions-and-answers
If you were an animal, which one would you want to be?	https://www.themuse.com/advice/interview-questions-and-answers
Sell me this pen.	https://www.themuse.com/advice/interview-questions-and-answers
Is there anything else you’d like us to know?	https://www.themuse.com/advice/interview-questions-and-answers
Do you have any questions for us?	https://www.themuse.com/advice/interview-questions-and-answers
Tell me something about yourself.	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
How did you hear about this position?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Why do you want to work here?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Why did you decide to apply for this position?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
What is your greatest strength?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
What are your strengths and weaknesses?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
What do you know about this company/organization?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Why should we hire you?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
What is your greatest accomplishment?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
What are your salary requirements?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Do you have any questions for us?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
What are you looking for from a new position?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Are you considering other positions in other companies?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
What is the professional achievement you’re most proud of?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
What kind of working environment do you work best in?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Where do you see yourself in 5 years?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Why haven’t you gotten your Bachelor’s Degree/Master’s Degree/Ph.D.?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Why have you switched jobs so many times?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Why did you change your career path?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Why did you decide to leave your previous/current job?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Why is there a gap in your work experience?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Why were you fired?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
How do you feel about working weekends or late hours?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
How would your boss describe you?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Do you have any serious medical conditions?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
What would your first 30, 60, or 90 days look like in this role?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Are you a team player?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Are you a risk-taker?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
How do you deal with pressure or stressful situation?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Do you think there is a difference between hard work and smart work?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
How quickly do you adapt to new technology?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Do you have any interests outside of work?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
What do you think our company/organization could do better?	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Give an example of how you have handled a challenge in the workplace before.	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Give an example of when you performed well under pressure.	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Give an example of when you showed leadership qualities.	https://novoresume.com/career-blog/interview-questions-and-best-answers-guide
Can you explain these gaps in your resume?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
